,i,j,distance
0,0,1,1.141878855694671
1,0,534,0.769953169948985
2,1,2,13.384671390253065
3,2,3,0.9441715345121485
4,3,4,0.8884875019920014
5,3,337,0.9482527663603576
6,4,5,12.75163974893577
7,5,6,0.8463013473146409
8,6,7,2.1320462401852387
9,7,8,0.7642145794297541
10,8,9,0.3583577294069676
11,9,10,13.493170178492894
12,10,11,10.210526184405778
13,11,12,5.570520455848133
14,13,14,1.3237997751899429
15,14,15,6.288692349518031
16,15,16,5.868330636192498
17,16,17,16.40377114083606
18,17,18,1.288995021079067
19,18,121,1.457993054354319
20,18,604,7.2475656473796075
21,19,20,1.2826574775053503
22,19,542,0.6857823151018485
23,20,21,20.304800204117072
24,21,22,9.614805335824125
25,22,178,26.011466238039908
26,22,595,7.137084869820676
27,23,24,4.374825351915375
28,24,25,1.15574908047856
29,24,323,1.6051447150239724
30,25,26,26.448394560462578
31,26,27,27.427140605169352
32,26,115,7.917822401836133
33,27,28,14.268612727053744
34,27,176,7.908170111591617
35,28,29,13.168278078426496
36,28,107,8.293087321909804
37,29,30,31.116820768112863
38,29,112,7.881846425426407
39,30,540,7.86726367335135
40,31,32,1.1979989631471155
41,31,606,2.408770706457089
42,32,33,16.488384401277084
43,33,34,1.0952443766330306
44,34,35,4.734618222158368
45,35,36,6.325005877053956
46,36,37,1.3049824234346796
47,38,39,0.8554229382596472
48,39,40,18.907113831616805
49,40,41,19.457875911056817
50,41,42,8.023973301150559
51,42,43,27.419288182148694
52,42,136,7.817609921379522
53,43,44,0.8105287144164206
54,43,58,7.958369494788234
55,44,45,26.61296811740719
56,45,310,5.629626091086268
57,45,418,15.504802061827483
58,46,47,0.8735561863043745
59,46,209,0.9646973753426089
60,47,48,6.220953301081541
61,48,49,0.9686665491803621
62,49,50,0.684381404045747
63,50,51,6.449404809354572
64,51,52,0.8998469106401829
65,52,53,0.5801786811047924
66,52,285,0.7858940804698648
67,53,54,6.45038982781697
68,54,55,0.9454574385221381
69,55,56,0.6574384068694374
70,55,136,27.417020683994426
71,56,43,7.197118417667999
72,58,59,4.27066338193819
73,58,553,27.422448256965176
74,59,154,3.5988572496527897
75,60,61,1.1817996509403919
76,61,62,30.020997570623255
77,62,63,6.812594543778232
78,62,599,2.5522818939475793
79,63,64,19.27900982301759
80,64,65,1.2545289579597634
81,65,166,7.925855099411108
82,65,556,1.299191423948097
83,66,67,1.063865990628866
84,66,587,0.8202610291063962
85,67,68,13.278820964481858
86,68,69,1.1887635126564273
87,69,70,1.01967149254391
88,70,71,7.689718312184671
89,72,73,1.1567345036174932
90,72,537,0.7495013915721241
91,73,74,13.308927734927781
92,74,75,0.9936919004052891
93,75,334,0.9048452104713984
94,76,77,1.240885035528892
95,76,590,0.6834335249463
96,77,78,15.22474458411234
97,78,79,14.710522840309254
98,79,235,7.951691103048282
99,79,398,14.271183765708626
100,80,81,7.31417827705923
101,80,232,8.41596858208887
102,81,82,12.39441900677692
103,82,83,7.787471054164194
104,82,104,8.117959039984354
105,83,229,27.322379462505847
106,83,352,7.804649078217345
107,84,85,8.780490200956422
108,85,86,1.078453910589152
109,86,87,13.2815115839475
110,87,76,1.174916775293852
111,89,90,29.829439429965664
112,90,91,1.2028854064364622
113,91,92,3.7118038241697633
114,91,467,0.8496916728762121
115,92,93,1.000487647805899
116,93,94,1.4358988452738488
117,94,95,21.331980710051685
118,95,96,27.44715150623077
119,95,340,8.37383892414364
120,96,97,26.485219753837324
121,96,147,7.8645219845299374
122,97,98,1.221343704004826
123,98,99,12.615500557909318
124,99,100,0.7418686843095337
125,101,102,1.0935984645820063
126,101,251,1.1709957012268883
127,102,82,7.685236420371227
128,104,105,8.18887292452556
129,104,385,17.570188030436153
130,105,28,8.145593031140756
131,105,114,12.01860579992565
132,107,108,8.201754749885223
133,107,176,16.902889449411674
134,108,109,3.7530421463092893
135,108,151,7.839809810670507
136,110,30,7.84069602614683
137,110,111,11.14930049735592
138,111,112,19.893458740972065
139,112,105,15.442905634320702
140,112,385,7.891321451408535
141,114,27,7.804433785387261
142,114,115,27.45108787436114
143,115,116,26.568889423475607
144,115,227,0.7398287000327125
145,116,117,1.154695971660658
146,117,24,7.87555249960349
147,117,383,5.846493679273043
148,118,119,12.7159416233918
149,118,320,8.693632419869758
150,119,272,7.7904893745823465
151,121,122,10.821011316350273
152,122,123,5.304146856990664
153,123,124,9.669206463366988
154,124,125,6.329740914306373
155,124,461,0.9206974472985324
156,125,126,0.5257793949547412
157,126,127,0.40896190048745645
158,127,128,4.78542676415785
159,127,376,0.7118423957656207
