,i,j,distance,street
0,9896,9895,1.217245461841298,Margaret Corbin Drive
1,1482,1483,15.145564685288917,West 82nd Street
2,6408,6407,0.7891612268215844,37th Avenue
3,2685,2686,0.46860366091460837,West 206th Street
4,24137,24136,1.0772284933578522,unknown
5,26409,26405,2.472632646235568,unknown
6,2504,2505,13.566978845231722,East 82nd Street
7,18607,1227,14.315459447445239,Dyckman Street
8,11128,4419,1.3384985025668867,Riverside Drive
9,24679,24680,1.8262093290729018,unknown
10,9438,9439,0.6558014563396534,unknown
11,6960,6961,0.28681675837442877,unknown
12,26912,26911,1.472992910374056,Margaret Corbin Drive
13,28896,1941,0.6250645664197361,Bowery
14,1503,1504,25.938782966917618,West 140th Street
15,20128,20129,5.7652819120718295,Lafayette Street
16,16984,7102,1.691026228118778,Gansevoort Street
17,19755,19754,0.8009543343522078,unknown
18,28170,28171,1.2406211900891158,FDR Drive
19,31082,31083,0.5373469181128913,unknown
20,5841,5159,0.4007073307119905,Frederick Douglass Circle
21,7724,7725,2.7557781401348524,Central Park West 72nd Approach
22,759,760,0.5162129616547535,Third Avenue Bridge
23,11913,1576,3.6345395605864765,2nd Place
24,30822,9699,2.3398127411328606,Madison Avenue
25,32688,32687,1.9309197301606529,unknown
26,32250,32251,0.49751275794899885,unknown
27,15129,15130,1.3466414171508645,unknown
28,10396,10397,1.3079661650535428,unknown
29,1686,1687,0.6024505252834912,Central Park West
30,15494,15493,11.382867586696475,unknown
31,8734,8735,2.334757823664387,unknown
32,13219,13220,11.420428654640705,Barrow Street
33,31159,31158,0.23849219137497046,unknown
34,10000,10001,5.892977412641666,unknown
35,18816,18817,6.122962957303528,Washington Square West
36,4925,4924,9.16104300235465,Gracie Square
37,1742,1743,22.836921180898727,West 138th Street
38,8360,31233,2.0550434737901626,Central Park Driveway
39,33199,3939,1.1711856832521712,West 23rd Street
40,32951,32952,0.28976746289140604,unknown
41,24162,24161,6.691382573842743,unknown
42,19291,2125,11.763880774000542,West 204th Street
43,18025,18026,0.5324492777828754,unknown
44,6850,6957,4.625420603761535,unknown
45,3342,3343,1.1471113688390928,Harlem River Drive
46,14424,14425,0.3819839227504213,unknown
47,5212,3387,5.68661997067117,Gansevoort Street
48,1131,1132,9.354198720829354,7th Avenue South
49,14369,14370,3.6076311134524093,unknown
50,5672,5673,0.18609770476600415,East 111th Street
51,27029,27030,0.3039579045118728,unknown
52,1717,1718,0.6919445537058808,Mulberry Street
53,1383,1384,12.4446017939941,Dyckman Street
54,10611,10650,8.618702139005535,Clinton Street
55,22056,17580,0.6640360962774738,unknown
56,3222,22447,3.701813602397719,West 181st Street
57,31395,31396,11.598891846372517,West Street
58,3309,3310,0.8980932456372446,unknown
59,27568,27567,2.0652579805028117,unknown
60,16914,16915,1.2145824071828069,unknown
61,24708,24707,0.9308346477858264,unknown
62,24798,24818,0.6930784408419958,unknown
63,15055,15056,0.8075476909393337,West Drive
64,15227,15228,1.0524372877950308,East Drive
65,22683,22684,0.47144472868871345,unknown
66,35,11736,0.7710928179618743,South Street
67,17054,17178,1.384986135208936,unknown
68,22976,5529,8.000896231465026,Lexington Avenue
69,23508,3834,8.146557989364513,Haven Avenue
70,10565,10566,9.864405768965883,West 63rd Street
71,31498,31499,0.7221570857895718,Canal Street
72,28171,28172,1.1814600671421174,FDR Drive
73,18690,18689,0.22997996013876162,unknown
74,26125,26126,0.2429917596897558,unknown
75,32689,32688,2.1543997686128016,unknown
76,16623,16624,0.9365804780418556,East 23rd Street
77,24032,6689,5.192128046399271,Henry Hudson Parkway
78,29535,29536,0.3901304615932516,Canal Street
79,12961,32647,14.408688024223174,East 60th Street
80,17297,17296,1.2064936389248235,unknown
81,5467,5468,9.568595726583935,Leroy Street
82,2011,20546,1.7061497621408999,West 71st Street
83,27433,2017,7.223646005883488,Lexington Avenue
84,124,125,6.068094500492034,unknown
85,20758,20759,6.269609663632621,Madison Avenue
86,22552,2215,7.148741721686052,Broadway
87,23978,23975,25.870692097074148,West 129th Street
88,26079,26080,1.9758094055693842,Roosevelt Island Bridge
89,3273,3274,0.6906813315113636,South Street
90,27932,27931,0.3881725502828664,unknown
91,24533,33041,0.7371347980218197,unknown
92,19497,33184,5.915918449801477,Riverside Drive
93,18147,18148,0.9975916852855904,FDR Drive
94,31082,31081,0.7438717142644992,unknown
95,27390,27391,4.816082861530542,unknown
96,26984,26994,0.3460259297753416,unknown
97,580,3813,15.242186044361747,5th Avenue
98,28320,28321,3.380716360075199,Hugh L. Carey Tunnel
99,10163,10162,1.1364724875420027,97th Street Transverse
100,29538,29539,0.6250073537898285,Canal Street
101,4994,4995,0.6927932412686002,Doyers Street
102,23028,23029,1.3543907815232201,West 30 Street
103,24215,24216,3.1808399122094806,unknown
104,17254,17255,0.701433297226561,unknown
105,31964,32596,0.9300173210383483,East 50th Street
106,2610,2611,7.868521677005148,7th Avenue
107,24530,24531,1.3356476677764333,unknown
108,30127,30128,0.6553884779019509,Park Row
109,5259,5260,16.329434056372694,West 119th Street
110,22617,22618,15.759783545898,River Avenue
111,24971,24977,0.6032119032856805,unknown
112,269,270,1.970321254241398,Central Park West 77th Approach
113,9813,9814,4.491473053668164,Henry Hudson Parkway
114,6535,6536,1.7806412302720662,Queens Plaza South
115,13305,13306,5.304146856990664,West 49th Street
116,11596,11597,7.046394880792377,Varick Street
117,32217,32218,0.5644204843813361,Paladino Avenue
118,6229,26570,8.258937890236243,unknown
119,21964,28810,1.8758890709137437,East Houston Street
120,21819,21820,0.85853606977975,Ed Koch Queensboro Bridge Lower Level
121,16126,24077,3.2692847765676847,unknown
122,1489,5779,5.281283957570642,Prince Street
123,1974,1975,18.054011313211557,West 112th Street
124,15936,15937,1.2776357845884108,unknown
125,24771,24717,2.260849695548598,unknown
126,8094,8095,1.153517180671336,Central Road
