,i,j,distance,street
118,8700,8702,13.871763809115093,Maiden Lane
119,16238,6391,15.510749258502493,East 55th Street
120,9573,19564,5.713125282367659,2nd Avenue
121,5550,5554,57.18995322849363,65th Street Transverse
122,2090,2323,8.006226918261008,Freedom Place
123,2251,1412,9.152034064538583,South Street
124,5113,5114,4.266389757240142,West 114th Street
125,18900,18901,8.674908460180184,East 42nd Street
126,4237,5138,7.589044859016821,Audubon Avenue
127,15942,3576,7.574578300249643,Vermilyea Avenue
128,11618,1608,8.08610502786357,Lexington Avenue
129,10966,4971,3.4514956173553553,Bedford Street
130,4101,20442,3.689553900020573,West 53rd Street
131,327,8502,13.086983107562755,Beach Street
132,9297,9915,26.94652199361679,West 30th Street
133,5274,4684,16.09350523149768,5th Avenue
134,5666,12945,8.41596858208887,6th Avenue
135,1921,8665,1.1976686466070399,Bowery
136,4412,4415,4.919555633319729,Nagle Avenue
137,1042,1046,11.713001015445275,Thomas Street
138,1974,1975,17.922586181202526,West 83rd Street
139,4120,3634,8.147257357566577,Wadsworth Avenue
140,2563,11510,8.267500082882599,3rd Avenue
141,5693,5694,12.04068027322029,West 188th Street
142,9730,4743,15.458078945579729,East 60th Street
143,10440,6421,111.86051540471043,Joe DiMaggio Highway
144,2182,1545,16.431539419713825,Old Broadway
145,2536,5866,7.991199475523898,5th Avenue
146,7966,7967,8.240730028625688,West 37th Street
147,9658,1494,8.046286306086259,Spring Street
148,8254,926,8.290932839472328,Broadway
149,2459,15336,7.835713164495119,Bradhurst Avenue
150,19662,2175,6.584683018674461,Amsterdam Avenue
151,5841,5840,21.892059028709355,East 79th Street
152,13643,4125,7.890012230234392,FDR Drive
153,8101,8099,3.3702046261709153,Delancey Street
154,4278,4291,38.18532008864216,FDR Drive
155,3306,3304,7.236628051599666,West 86th Street
156,3013,13733,24.72509389065958,West 65th Street
157,3680,4392,10.932171372947751,West Street
158,1034,3627,6.319437530189352,Bialystoker Place
159,13328,2698,8.528262131129063,9th Avenue
160,4365,2545,7.296369305330638,6th Avenue
161,2141,2143,7.9416914893629205,Bayard Street
162,4447,1135,3.403430710372558,Charles Street
163,7279,7292,3.9014075900486693,York Avenue
